mz,significant,chemical
415.1589,False,C19H26O10
398.2900,False,C22H39NO5
896.1697,True,C27H44N7O19P3S
200.0553,False,C8H9NO5
415.3206,True,C27H42O3
227.0701,False,C14H10O3
575.1489,True,C38H22O6
188.1068,False,C12H13NO
526.3138,False,C24H48NO9P
241.2162,False,C15H28O2
647.5120,True,C35H71N2O6P
118.1224,True,C6H15NO
199.1077,False,C9H14N2O3
417.2271,False,C24H32O6
700.2320,False,C29H33N9O12
304.1091,True,C15H14FN3O3
801.4140,True,C39H62NO16
785.2860,True,C36H48O19
364.1121,True,C17H18FN3O3S
216.1744,False,C15H21N
288.0865,True,C15H13NO5
568.5662,False,C36H73NO3
161.0552,True,C5H8N2O4
259.3107,False,C16H38N2
369.2785,True,C25H36O2
689.6076,True,C44H80O5
119.1064,False,C6H14O2
571.2893,False,C32H42O9
569.3315,False,C30H48O10
473.2043,True,C25H30NO8
88.1120,False,C5H13N
841.6910,True,C53H92O7
852.6473,False,C49H90NO8P
646.4806,True,C35H68NO7P
255.0861,False,C12H14O6
525.1966,False,C25H32O12
381.0261,False,C10H13N4O8PS
779.5795,True,C42H83O10P
803.7122,True,C51H94O6
695.1965,True,C35H34O15
539.0972,False,C30H18O10
371.0761,True,C19H14O8
905.4786,False,C41H78O17P2
190.0498,True,C10H7NO3
621.1809,False,C29H32O15
190.0895,False,C8H15NO2S
723.2544,True,C40H38N2O11
75.9851,False,CHNOS
859.5326,True,C45H79O13P
906.6945,False,C53H96NO8P
278.1750,False,C16H23NO3
285.1193,False,C11H16N4O5
387.1801,False,C22H26O6
257.1283,True,C15H16N2O2
547.1809,True,C27H30O12
815.6523,False,C47H91O8P
95.0602,True,C5H6N2
293.0217,False,C7H15Cl2N2O4P
203.2230,True,C10H26N4
398.0686,False,C12H19N3O8S2
297.1096,False,C11H21O7P
477.3936,False,C30H52O4
146.0959,False,C10H11N
544.1594,False,C22H29N3O11S
340.1133,False,C14H17N3O7
423.2869,True,C21H43O6P
604.2436,False,C27H42N2O9S2
520.2410,True,C31H34O7
776.5586,False,C45H78NO7P
133.0283,True,C8H4O2
848.6162,False,C49H86NO8P
529.2281,True,C27H30F6N2O2
128.0454,True,C4H5N3O2
565.4824,False,C35H64O5
209.1382,True,C9H20O5
611.1217,True,C30H26O12S
333.0994,True,C20H14NO4
865.1455,False,C40H32O22
170.0001,True,C7H4ClNO2
311.2367,True,C22H30O
484.1635,False,C22H29NO9S
147.1128,True,C6H14N2O2
239.0761,True,C8H14O8
369.2999,False,C22H40O4
361.1492,False,C16H24O9
844.2267,False,C36H43O23
179.1429,False,C12H18O
257.1172,False,C16H16O3
681.5604,False,C48H72O2
308.0141,True,C11H10BrN5O
512.5036,True,C32H65NO3
771.6132,False,C48H82O7
293.0865,False,C11H16O9
369.0274,True,C15H12O9S
655.5659,False,C43H74O4
312.1777,True,C12H21N7O3
395.1700,False,C20H26O8
407.1336,False,C20H22O9
335.2113,False,C22H26N2O
248.0491,False,C8H10FN3O3S
157.0050,False,C7H5ClO2
467.3606,True,C23H51N2O5P
147.0649,False,C6H10O4
477.3572,False,C29H48O5
313.0375,True,C13H12O7S
237.1088,False,C9H20N2OS2
685.4801,True,C38H69O8P
573.2328,False,C30H36O11
45.0697,True,C3H8
667.3687,False,C35H54O12
335.1770,False,C20H27ClO2
485.3984,True,C32H52O3
277.0526,False,C14H12O4S
296.1280,False,C18H17NO3
723.5922,False,C47H78O5
328.1543,False,C19H21NO4
416.3369,False,C23H45NO5
202.1216,True,C13H15NO
618.3861,False,C32H51N5O7
872.6163,True,C51H86NO8P
743.2754,False,C34H46O18
271.1262,False,C16H18N2S
450.1804,False,C20H27N5O5S
403.1744,True,C22H26O7
230.9425,True,C8H6S4
785.1558,False,C36H32O20
697.2125,False,C35H36O15
907.5459,False,C46H84O13P2
391.0845,False,C19H18O7S
395.2216,True,C25H30O4
234.1310,False,C14H19NS
338.1815,False,C15H23N5O4
205.0815,True,C7H12N2O5
156.1017,False,C8H13NO2
288.1745,True,C21H21N
196.8973,False,C2HBrClF3
653.4258,True,C36H60O10
255.0847,False,C6H15N4O5P
227.0192,False,C10H10O2S2
229.2160,False,C14H28O2
231.0295,False,C13H10S2
426.1688,False,C22H24ClN5O2
164.0011,False,C4H5NO4S
367.3569,False,C24H46O2
644.3210,False,C30H49N3O10S
288.1186,False,C11H17N3O6
393.1695,True,C24H24O5
215.2368,True,C14H30O
287.0913,True,C16H14O5
915.1622,False,C30H42N7O18P3S
121.0494,False,C4H8O4
385.1128,False,C17H20O10
902.6843,False,C50H96NO10P
403.3054,True,C22H42O6
233.1128,False,C9H16N2O5Se
198.1124,False,C10H15NO3
337.0812,True,C10H16N4O7S
294.0527,False,C14H12ClNO4
120.0289,False,C3H5NO4
345.1177,True,C15H20O9
497.2015,False,C24H32O11
846.6006,False,C49H84NO8P
593.1284,False,C30H24O13
859.4838,True,C47H70O14
509.2345,False,C27H34F2O7
705.1802,False,C36H32O15
892.6060,False,C50H86NO10P
415.2115,True,C24H30O6
431.2192,False,C21H35O7P
275.0946,False,C12H18O5S
267.1226,False,C14H18O5
473.1292,False,C27H22Cl2N4
491.2636,False,C27H38O8
516.1648,False,C29H25NO8
388.9797,True,C6H15O13P3
290.2114,True,C18H27NO2
275.0581,False,C11H14O6S
827.4420,False,C42H66O16
529.1736,True,C24H32O11S
420.0393,True,C12H19Cl2N3O7S
301.0600,False,C10H12N4O5S
353.1416,False,C18H24O5S
519.2950,True,C29H42O8
394.1278,False,C14H23N3O8S
400.7576,False,C10Cl8
297.1570,True,C15H22NO5
646.2388,False,C26H39N5O12S
394.1455,False,C14H23GdN3O10
413.0536,True,C17H16O10S
723.6495,True,C45H86O6
189.0783,False,C11H10NO2
877.8216,True,C56H108O6
486.6906,False,C10Cl10O
144.1495,False,C7H17N3
448.3421,False,C27H45NO4
383.2580,False,C25H34O3
309.1328,True,C16H20O6
771.2130,False,C37H38O18
780.5532,False,C44H78NO8P
403.2114,False,C23H30O6
725.2283,False,C33H40O18
497.1230,False,C29H20O8
389.2533,True,C20H36O7
522.5969,False,C36H75N
529.2279,False,C25H36O12
537.4511,True,C33H60O5
423.0920,False,C19H18O11
479.0820,False,C21H18O13
871.6810,True,C57H90O6
849.4674,False,C42H74O13P2
575.4305,False,C35H58O6
411.3467,True,C25H46O4
557.4717,False,C40H60O
107.0524,False,C4H10OS
227.0761,False,C7H14O8
809.4681,False,C43H68O14
627.4407,False,C42H58O4
353.1956,True,C19H28O6
487.0868,True,C23H18O12
168.9786,False,C3H4O6S
873.2694,True,C56H40O10
606.0841,False,C16H25N5O16P2
401.1523,True,C21H24N2O4S
491.2270,False,C26H34O9
521.2169,True,C30H32O8
173.1072,False,C11H12N2
217.0164,False,C8H8O5S
325.1646,False,C17H24O6
296.1855,False,C16H25NO4
445.3312,False,C28H44O4
324.2168,False,C18H29NO4
329.0685,False,C14H16O7S
271.2995,True,C18H38O
708.4833,True,C43H65NO7
296.1102,True,C18H17NOS
506.3604,False,C26H52NO6P
253.0929,True,C10H12N4O4
196.1331,False,C11H17NO2
195.1853,True,C12H22N2
136.0617,True,C5H5N5
541.2643,False,C27H40O11
235.0782,False,C13H14O2S
327.1299,True,C13H18N4O6
304.1402,False,C14H17N5O3
200.0930,True,C10H9N5
305.0325,True,C11H12O8S
470.0783,True,C14H23N4O8P2S
524.3709,False,C26H54NO7P
533.3141,True,C27H48O8S
409.3098,False,C28H40O2
801.6965,True,C51H92O6
465.0846,False,C21H20O10S
380.0978,False,C10H17N7O7S
335.1853,True,C19H26O5
387.3256,False,C26H42O2
740.5588,True,C42H78NO7P
608.0882,False,C17H27N3O17P2
766.5379,True,C43H76NO8P
671.1817,True,C29H34O18
234.1447,False,C9H19N3O4
279.3044,False,C20H38
671.1223,False,C28H26N6O10S2
637.5764,False,C40H76O5
911.4634,False,C46H70O18
297.0755,False,C17H12O5
383.0064,False,C15H10O10S
601.4208,False,C35H56N2O6
891.8372,True,C57H110O6
101.0204,True,C2H3F3O
746.4965,True,C39H72NO10P
791.0937,True,C33H26O23
219.0863,False,C9H14O6
867.1951,True,C45H38O16S
653.1687,False,C33H32O12S
857.6505,False,C15H11I4NO7S
293.2838,False,C20H36O
279.1379,True,C19H18O2
261.1484,False,C16H20O3
365.0493,False,C10H13N4O9P
610.1701,False,C26H31N3O12S
528.2339,False,C27H33N3O8
750.5278,False,C39H76NO10P
86.0058,True,C3H3NS
428.0366,False,C10H15N5O10P2
453.1331,False,C28H20O6
638.5434,False,C12H4Br6O
171.2105,False,C12H26
293.1225,False,C12H20O8
421.2219,True,C23H32O7
317.0686,True,C16H13ClN2O3
465.1238,True,C18H24O14
867.1765,False,C44H34O19
162.9711,False,C6H4Cl2O
369.1754,True,C15H28O10
345.1542,False,C16H24O8
175.0861,True,C10H10N2O
677.3528,True,C36H52O12
352.9218,False,C14H9Cl5
674.5117,False,C37H72NO7P
419.1698,False,C22H26O8
501.1913,False,C25H31F3O5S
520.3396,False,C26H50NO7P
475.3415,False,C29H46O5
403.3206,True,C26H42O3
867.5956,False,C45H87O13P
443.2425,True,C22H45Cl3Si
291.1256,True,C16H19ClN2O
295.1135,False,C10H18N2O8
127.0501,False,C5H6N2O2
333.1179,False,C14H20O9
479.3843,False,C28H50N2O4
251.1277,False,C14H18O4
235.0964,True,C13H14O4
620.3224,False,C29H45N7O6S
685.2853,True,C36H44O13
543.4923,False,C40H62
835.2226,False,C45H38O16
127.0725,False,C3H6N6
255.1161,True,C12H18N2O2S
819.5100,False,C42H74O15
657.3130,False,C33H44N4O10
539.1333,False,C31H22O9
152.0705,False,C8H9NO2
710.2223,False,C31H39N3O14S
611.3114,False,C37H42N2O6
609.3786,False,C37H52O7
262.1543,True,C14H19N3O2
296.1237,True,C13H17N3O5
461.0982,False,C22H18O11
691.4332,False,C39H63O8P
297.1331,True,C15H20O6
350.3417,False,C23H43NO
212.1465,True,C12H21NS
781.4017,True,C41H56N4O11
412.3780,True,C25H49NO3
683.9305,True,C10H18N5O20P5
213.2212,True,C14H28O
361.1276,False,C19H20O7
543.4043,False,C34H54O5
353.0325,False,C15H12O8S
830.6827,True,C47H93N2O7P
381.1001,False,C18H20O7S
242.0116,False,C9H7NO5S
427.3570,True,C29H46O2
835.5048,False,C42H74O16
528.0720,False,C25H19O11S
727.5353,False,C41H74O10
860.7463,True,C50H102NO7P
499.1079,True,C21H22O14
381.0039,False,C16H10Cl2N2O5
253.1538,False,C13H20N2O3
340.1321,True,C15H21N3O4S
768.4809,False,C41H70NO10P
297.9716,True,C7H8ClN3O4S2
155.0702,True,C8H10O3
455.0372,False,C14H14N8O4S3
839.6756,True,C53H90O7
298.1436,False,C18H19NO3
543.2433,False,C26H38O12
232.1291,True,C9H17N3O4
647.3788,False,C36H54O10
275.0662,True,C13H10N2O5
405.2270,False,C23H32O6
747.4207,True,C34H68O13P2
147.0764,False,C5H10N2O3
915.1800,False,C45H38O19S
834.5279,False,C46H76NO10P
386.3260,False,C22H43NO4
619.4203,True,C36H58O8
332.1638,True,C14H25N3O4S
577.2644,True,C30H31F3N8O
511.4705,False,C30H60N3O3
459.1496,False,C20H26O12
224.0469,True,C11H10ClNO2
705.5903,False,C39H81N2O6P
628.3240,False,C34H41N7O5
500.9358,True,C6H16O18P4
281.1746,True,C16H24O4
195.0284,False,C9H6O5
349.0537,False,C10H13N4O8P
869.0452,True,C20H28N10O21P4
89.0232,False,C3H4O3
399.1284,False,C18H22O10
232.1079,True,C12H13N3O2
541.1915,False,C25H32O13
269.1745,False,C15H24O4
669.2086,False,C37H36N2O6S2
127.0324,True,C5H6N2S
302.1152,False,C14H20ClNO4
303.1774,True,C11H22N6O4
187.1151,False,C10H18OS
829.2819,False,C30H52O26
891.7433,False,C58H98O6
145.0967,True,C6H12N2O2
208.9398,False,C6H2Cl2O4
856.5120,False,C48H74NO10P
351.0915,True,C13H18O11
187.0001,True,C3H7O7P
694.4674,False,C42H63NO7
904.7000,True,C50H98NO10P
327.2064,True,C20H26N2O2
411.1976,False,C22H28F2O5
354.1000,True,C16H19NO6S
443.1733,True,C21H30O8S
113.0053,False,C5H4OS
431.2791,True,C26H38O5
112.0503,True,C4H5N3O
325.2006,False,C18H28O5
303.1662,False,C12H22N4O5
639.5919,True,C40H78O5
515.3152,True,C34H42O4
289.2158,True,C19H28O2
232.1443,False,C13H17N3O
380.2000,False,C19H29N3O3S
277.1280,False,C12H20O7
244.1900,False,C13H25NO3
299.1573,True,C18H22N2S
500.9440,False,C8HF17O3S
363.3253,False,C24H42O2
350.2073,False,C18H27N3O4
201.1591,False,C10H20N2O2
343.1024,False,C15H18O9
188.1433,True,C13H17N
640.1421,True,C31H27O15
884.1330,False,C25H40N7O20P3S
331.0845,True,C14H18O7S
130.9983,True,C5H6S2
432.2743,False,C25H37NO5
377.1302,True,C24H21ClO2
383.2216,False,C24H30O4
276.1075,False,C11H17NO7
441.2494,False,C23H37NO5S
127.0383,False,C6H6O3
433.1492,False,C22H24O9
509.1285,False,C23H24O13
149.0630,True,C6H12O2S
351.1357,False,C19H23ClO4
291.0143,True,C14H10O3S2
559.4873,True,C40H62O
681.3048,False,C33H48N2O11S
755.6058,False,C43H83N2O6P
284.0989,True,C10H13N5O5
877.4989,False,C44H78O13P2
777.6966,True,C49H92O6
309.2271,False,C15H32O6
387.1071,False,C20H18O8
792.5534,False,C45H78NO8P
1029.9783,False,C67H128O6
151.0753,False,C9H10O2
387.9822,False,C13H10ClN3O5S2
549.0878,False,C16H26N2O15P2
385.1702,False,C15H28O11
440.0580,False,C17H17N3O7S2
431.1910,False,C20H30O10
200.0915,False,C9H13NO4
559.1231,True,C30H22O11
237.0105,False,C5H8N4O3S2
245.0353,False,C9H10Cl2N4
438.0556,False,C12H23NO10S3
384.0763,False,C18H19Cl2NO4
788.5222,False,C45H74NO8P
229.1070,False,C11H16O5
374.3417,True,C25H43NO
543.1491,False,C27H26O12
268.1027,False,C9H17NO8
528.3683,False,C32H49NO5
409.2009,False,C25H28O5
197.1535,False,C12H20O2
337.2274,True,C22H28N2O
385.1855,True,C19H28O8
117.1271,False,C7H16O
263.1026,False,C13H14N2O4
155.1430,False,C10H18O
745.5012,True,C40H73O10P
379.9090,False,C8H8Cl3N3O4S2
719.5608,False,C47H74O5
383.1158,False,C18H22O7S
408.1438,True,C23H21NO6
149.0596,True,C9H8O2
261.0967,False,C11H16O7
359.0947,True,C19H18O5S
749.5325,False,C40H77O10P
769.4802,True,C45H69O8P
564.2658,True,C26H45NO8S2
226.1338,True,C14H15N3
475.1809,True,C21H30O12
88.0389,False,C3H5NO2
592.1230,False,C25H25N3O12S
257.1018,False,C12H16O6
345.2527,False,C21H32N2O2
865.6234,True,C50H90O7P2
321.0967,True,C16H16O7
218.1539,False,C14H19NO
651.2647,False,C32H42O14
309.1654,False,C12H24N2O7
284.1112,True,C11H15N4O5
357.0604,False,C18H12O8
493.4978,False,C33H64O2
152.9858,False,C4H8S3
316.0080,True,C14H10BrN3O
705.4008,False,C43H52N4O5
456.1861,False,C21H29NO10
261.1081,False,C10H16N2O6
839.2656,True,C44H42N2O15
497.5291,False,C33H68O2
663.4976,True,C43H66O5
793.5951,False,C43H85O10P
869.5572,True,C55H72MgN4O5
559.3264,True,C32H46O8
295.2016,False,C16H26N2O3
645.3995,False,C37H56O9
183.1379,False,C11H18O2
267.0617,True,C12H14N2OS2
393.0992,True,C19H20O7S
277.0407,True,C10H13ClN2O3S
311.0550,False,C17H10O6
1032.5685,False,C50H87N3O15P2
802.6678,True,C46H92NO7P
223.0417,True,C11H10O3S
179.0855,False,C14H10
207.1742,True,C14H22O
732.5529,True,C40H78NO8P
673.1423,True,C28H32O17S
491.1285,True,C16H23N6O10P
434.8581,True,C9H8I2O4
241.0748,False,C9H20OS3
467.3189,False,C27H46O4S
178.0682,False,C10H11NS
455.0123,False,C18H15ClN2O6S2
683.2697,False,C36H42O13
248.0313,False,C8H10NO6P
157.0759,True,C10H8N2
793.5011,True,C44H73O10P
190.0883,False,C7H15NO3Si
104.1182,True,C4H13N3
263.1639,False,C16H22O3
864.2318,True,C39H43O22
284.0082,False,C7H11NO7P2
464.2906,True,C28H37N3O3
742.1948,False,C32H37O20
296.1255,True,C16H16F3NO
796.5850,False,C45H82NO8P
167.0549,False,C5H10O6
456.0639,False,C16H17N5O7S2
570.2978,True,C22H43N5O12
617.9986,False,C23H25I2NO3
531.3315,False,C31H46O7
288.1132,False,C18H13N3O
425.4336,False,C28H56O2
247.1327,False,C15H18O3
564.5349,False,C36H69NO3
296.0637,False,C8H14N3O7P
855.2930,False,C40H46N4O17
